scarlet	13
[oswald	10
'courage	3
decrepit	3
southerly	1
tire	13
perch'd	1
"these	1
trod	12
sturdy	1
bed-fellows	1
hang'st	1
pandar's	2
whe'r	2
barnacles	1
pompion	1
persecutions	1
fleec'd	1
ballow	1
pair'd	1
roundly	10
discoloured	2
william's	1
"long	1
good-morrow	4
alphabetical	1
speediness	1
kissed	3
proclaim'd	22
humbler	3
revolving	1
musk-roses	2
scants	1
significants	1
no-i	1
yokefellow	1
unserviceable	1
leapt	6
well-order'd	1
tooth'd	1
bookish	3
unfortified	1
ascendeth	1
satyr	3
womanly	3
decerns	1
scribes	4
tasking	2
canopies	2
heareth	1
trump	6
intelligent	4
firebrand	3
briers	8
ransoms	2
depended	1
tickle-brain	1
tirest	1
patents	2
dispatch'd	19
chargeful	1
apennines	1
massacres	2
liver-vein	1
prosperous	21
phoenix	13
rideth	1
soon-speeding	1
behind-door-work	1
awl	2
impostor	3
147	1
armourers	2
baking	1
specialities	1
sail-	1
heaven-kissing	1
twinkling	3
mad-brain'd	3
convertest	1
lying'st	2
program	3
charles'	1
crimson'd	1
rivets	2
madrigals	1
never-needed	1
suns-	1
naught-	1
shallows	2
'yea	2
damm'd	2
organ-pipe	2
more-	9
pencil)	1
slit	1
falsehood-	2
ave-maries	2
bechance	1
jutty	2
prun'st	1
[cries]	1
slanders	16
serge	1
[unmuffling]	1
forcible	3
brandish'd	4
s	4
rushling	1
increases	1
invented	2
say't	4
thee-thou	1
wretched-	1
be'	1
promised'st	1
bottomless	2
filly	1
pardonner	2
stock-fish	1
enrounded	1
past-proportion	1
'hail	1
find	522
apparel	40
descent-	2
badged	1
arguing	3
merchant's	5
viz	1
goneril	22
shoot	28
receipts	1
[gentleman]	1
schools	4
saltpetre	1
favourable	4
monmouth's	3
spit	28
mints	1
cogitation	1
heading	1
business	230
doughty-handed	1
julius	18
bully	18
wild	84
likeness	23
tooth	23
strong-	2
lots	3
losing	22
winner	5
'a'	1
(whereto	1
noblesse	1
snipe	1
plough-torn	1
all-hurting	1
liberties	6
[one	2
forceful	1
cockatrices	1
funeral	20
guided	5
ancus	1
contend	15
oppos'd	17
whooping	1
resemblance	3
stay'd	36
creditor	6
nurse	198
mollification	1
warrant's	2
noyance	1
confin'd	15
bear-baiting	2
cracked	1
sandy	6
choristers	1
senoys	1
vat	12
support	12
a'leven	1
scythed	1
hatches	7
prayers-	1
produce	19
enjoin'd	7
offendeth	1
lion-sick	1
mouth]	1
picking	5
forbear	57
darting	1
services	34
shrow	1
money]	3
armourer's	1
estridges	1
ravin'd	1
channels	2
honeysuckles	1
1971**	1
cocytus'	1
politic-	1
